DGRP,Length,Width,Height,HeightMax,AreaSq,AreaCube,Volume,HullArea,HullVolume,AreaRatio,VolumeRatio
796_female,134.0,187.0,86.0,90.0,4112647,632441,587521,50006.29289801887,803788.6666666655,82.24258911547777,0.7309396416802769
195_male,131.0,184.0,84.0,85.0,3555888,550527,507984,46253.829948611514,732390.6666666664,76.87769864572574,0.6935970420158278
354_male,160.0,133.0,110.0,140.0,3856895,602950,550985,48980.07563732496,834460.4999999999,78.74416178036437,0.6602888932429997
306_male,162.0,171.0,104.0,118.0,4058334,628813,579762,50775.95114361922,830688.3333333331,79.92630189282022,0.6979296286413077
705_female,144.0,159.0,67.0,85.0,3659397,563804,522771,43778.42725078464,695223.1666666669,83.58904670186416,0.7519470366709584
853_male,150.0,87.0,147.0,158.0,3400404,528520,485772,44307.84459588165,695178.0000000001,76.74496538962906,0.6987735515220561
228_female,123.0,119.0,98.0,126.0,2071622,326597,295946,33205.191781604,430200.1666666666,62.38849676356029,0.687926279278522
850_male,171.0,153.0,88.0,118.0,4206930,647968,600990,52965.128559606244,875538.4999999993,79.42829771980215,0.6864232697933905
136_female,152.0,194.0,72.0,84.0,3404730,530710,486390,50996.43203910362,789417.9999999999,66.7640825810967,0.6161374582287205
332_male,124.0,80.0,152.0,159.0,2516206,407380,359458,35850.0853552791,512015.00000000023,70.18689007471153,0.7020458385008248
843_male,152.0,174.0,84.0,92.0,4100460,629893,585780,49294.54658057727,823325.6666666686,83.18283226923194,0.711480309330814
385_male,164.0,91.0,135.0,139.0,3779111,583740,539873,44914.66048872449,735348.8333333359,84.13981000588258,0.734172647766035
32_female,171.0,202.0,104.0,129.0,4186070,650892,598010,62808.29778413146,1106264.8333333328,66.64835933601137,0.5405667630219348
732_male,131.0,67.0,179.0,184.0,3267215,508886,466745,45209.279248140316,651988.333333333,72.26868143743735,0.7158793741196804
787_female,123.0,177.0,85.0,87.0,3288145,519710,469735,46228.51673549086,719557.666666667,71.12806622834177,0.6528107777324307
486_female,145.0,94.0,178.0,191.0,3924277,615208,560611,51406.45572287154,775185.3333333324,76.33821365074246,0.7231960873012742
317_male,78.0,146.0,141.0,148.0,3645313,562383,520759,44882.87383631259,709546.3333333317,81.21835097490462,0.7339323389264236
739_male,158.0,161.0,80.0,101.0,3988334,619027,569762,51513.434505186415,860356.6666666648,77.4231817060936,0.6622393038546044
59_male,141.0,156.0,69.0,70.0,3000571,466128,428653,40662.26322045363,594502.6666666662,73.79252314934293,0.7210278843716995
820_male,152.0,74.0,173.0,173.0,3759623,579653,537089,47471.65182446357,778067.3333333336,79.19722309015067,0.6902860163773313
584_female,152.0,162.0,79.0,111.0,3301263,510419,471609,45423.28677185378,648682.6666666652,72.67776584686963,0.7270257465386276
385_female,126.0,122.0,130.0,144.0,3194989,496246,456427,40944.740408664635,624513.3333333329,78.03173174652449,0.7308522903167272
