"id","genotype","sex","exp_type","shock_color","shock_arm","treatment","replicates","ZT0","ZT","starting_arm","starting_color","frac_time_on_shocked","frac_time_on_shockArm","frac_time_on_neutral_left","frac_time_on_neutral_right","left_handedness","first_half_left_handedness","second_half_left_handedness","activity","first_half_activity","second_half_activity","activity_shock","activity_noShock","activity_shock_color","first_half_activity_shock_color","second_half_activity_shock_color","activity_noShock_color","first_half_activity_noShock_color","second_half_activity_noShock_color","total_choices","correct_choices","incorrect_choices","first_half_total_choices","first_half_correct_choices","first_half_incorrect_choices","analysis_time","bias_frac_time_on_shocked","bias_left_handedness","bias_activity","bias_activity_shock","bias_activity_noShock","bias_activity_shock_color","bias_activity_noShock_color","bias_total_choices","bias_correct_choices","bias_incorrect_choices","bias_analysis_time","post_frac_time_on_shocked","post_left_handedness","post_first_half_left_handedness","post_second_half_left_handedness","post_activity","post_activity_shock","post_activity_noShock","post_activity_shock_color","post_activity_noShock_color","post_total_choices","post_correct_choices","post_incorrect_choices","post_first_half_total_choices","post_first_half_correct_choices","post_first_half_incorrect_choices","post_analysis_time","group","group_sex","folder","experiment_date","second_half_total_choices","second_half_correct_choices","second_half_incorrect_choices","post_second_half_total_choices","post_second_half_correct_choices","post_second_half_incorrect_choices","handedness_change","post_handedness_change","experiment_by","head_scanned","abs_dev","abs_dev_sex","ls"
17,"dgrp100","female","operant_place","green","M","noShock",1,"11:00:00",NA,"M","G",0.131708549059225,0.131708549059225,0.129688091930799,0.688344487940396,0,-0.181818181818182,0.153846153846154,1.0486088973973,1.01536343315129,1.08160326297075,NA,1.0486088973973,1.29136890744261,1.29136890744261,NA,0.644969933787896,0.566572633434863,0.727955027965375,39,26,13,17,13,4,1200,0.11002661934339,0.142857142857143,1.14415914671631,NA,1.14415914671631,1.49983423794881,0.785573535533636,9,6,3,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,22,13,9,NA,NA,NA,0.335664335664336,NA,"riddha",FALSE,0.144784300416719,0.157481216062634,2.22554491312413
18,"dgrp100","female","operant_place","green","R","noShock",1,"11:00:00",NA,"L","B",0.241444626846824,0.241444626846824,0.347644904659679,0.309635054931178,-0.539823008849557,-0.43859649122807,-0.642857142857143,2.07233609367582,2.08525390294387,2.05951585094302,NA,2.07233609367582,1.39755143800383,1.39755143800383,NA,1.50787523101695,1.47447452469718,1.5426309355647,98,75,23,42,34,8,1200,0.143744454303461,-0.529411764705882,2.16368468419178,NA,2.16368468419178,1.68124994774382,1.48661866127101,18,15,3,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,56,41,15,NA,NA,NA,0.204260651629073,NA,"riddha",FALSE,0.0350482226291198,0.0477451382750347,2.39501859382952
19,"dgrp100","female","operant_place","green","L","noShock",1,"11:00:00",NA,"M","B",0.515595403460033,0.515595403460033,0.164540977396136,0.20356105568885,-0.0847457627118646,-0.304347826086957,0.0555555555555556,1.19427888026072,1.0126796393304,1.37450652571573,NA,1.19427888026072,0.675093419749992,0.629335192527617,0.745430351880385,1.19059708173813,1.18443434033615,1.21467355450352,47,28,19,21,13,8,1200,0.315836298932384,-0.25,1.33545701266544,NA,1.33545701266544,0.85532889086752,1.06203107886068,9,6,3,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,26,15,11,NA,NA,NA,0.359903381642512,NA,"riddha",FALSE,0.239102553984089,0.226405638338174,-0.0224801996489906
20,"dgrp100","female","operant_place","green","M","noShock",1,"11:00:00",NA,"X",NA,0.314559919181715,0.314559919181715,0.168708170223513,0.394620532895568,-0.446153846153846,-0.393939393939394,-0.5,1.32365091758168,1.35568725404753,1.29185654740333,NA,1.32365091758168,1.0514504952807,1.05057844799621,1.05867367939189,1.00915260073731,1.04997276350112,0.964250421697112,57,36,21,25,16,9,1200,0.375332741792369,-0.25,1.2799326678556,NA,1.2799326678556,0.940439195149071,0.866560101849801,9,6,3,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,32,20,12,NA,NA,NA,0.106060606060606,NA,"riddha",FALSE,0.038067069705771,0.025370154059856,0.718667626227071
21,"dgrp100","female","operant_place","green","R","noShock",1,"11:00:00",NA,"L","B",0.167824220229827,0.167824220229827,0.516479353453719,0.208107084227807,0.294117647058824,0.243243243243243,0.333333333333333,1.7278938168886,1.5794860119718,1.87518071693442,NA,1.7278938168886,1.55429116681241,1.55429116681241,NA,1.20040681706777,1.11192842751503,1.29469266848304,68,55,13,28,23,5,1200,0.256433007985803,0.2,1.97866950868357,NA,1.97866950868357,1.40395159357308,1.49152578452106,17,11,6,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,40,32,8,NA,NA,NA,0.0900900900900902,NA,"riddha",FALSE,0.108668629246117,0.121365544892032,1.15653230360958
22,"dgrp100","female","operant_place","green","L","noShock",2,"11:00:00",NA,"M","B",0.367849475943932,0.367849475943932,0.102411920697058,0.393989140042935,0.366336633663366,0.584905660377358,0.148936170212766,1.9185696469813,1.99121170279881,1.8464762471745,NA,1.9185696469813,1.23030553464155,1.1838492451619,1.37461656153579,1.25135082057429,1.26060399731566,1.23909302035081,86,54,32,39,26,13,1200,0.437056737588652,0.6,2.0198496287197,NA,2.0198496287197,1.12150911170346,1.6557747988397,16,10,6,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,47,28,19,NA,NA,NA,0.435969490164593,NA,"riddha",FALSE,0.0913566264679884,0.0786597108220735,2.40529516743576
23,"dgrp100","female","operant_place","green","M","noShock",2,"11:00:00",NA,"M","G",0.272382876625837,0.272382876625837,0.211264048490971,0.404091425685061,0.2,0.232876712328767,0.166666666666667,2.60576346737281,2.65263459693323,2.55924634936495,NA,2.60576346737281,1.21417134825028,1.19432258354722,1.74264470846911,1.99430454088656,1.88512357040198,2.11007401821073,120,90,30,51,39,12,1200,0.226063829787234,0.230769230769231,3.02438005384601,NA,3.02438005384601,1.98953336207286,2.19262165266376,27,19,8,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,69,51,18,NA,NA,NA,0.0662100456621004,NA,"riddha",FALSE,0.00410997285010734,0.0168068884960222,1.12593559970089
24,"dgrp100","female","operant_place","green","R","noShock",2,"11:00:00",NA,"X",NA,0.204445005682536,0.204445005682536,0.461421896704129,0.211137769920445,-0.508196721311476,-0.459459459459459,-0.583333333333333,1.26969785377359,1.45658663711067,1.08422061713845,NA,1.26969785377359,1.30472667915259,1.30472667915259,NA,0.831351968720892,1.03555929864488,0.651832917026055,55,36,19,27,18,9,1200,0.246235606731621,-0.5,1.91493827007865,NA,1.91493827007865,1.54498737702446,1.66275382172805,17,11,6,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,28,18,10,NA,NA,NA,0.123873873873874,NA,"riddha",FALSE,0.0720478437934083,0.0847447594393232,-0.465742470603098
49,"dgrp100","female","operant_place","green","L","noShock",2,"11:00:00",NA,"M","B",0.395757040030307,0.395757040030307,0.331607526202803,0.119206970577093,-0.0540540540540541,-0.081081081081081,-0.0270270270270271,1.3859527264824,1.37702533356136,1.39481269196445,NA,1.3859527264824,0.990454353601524,1.02204879120115,0.932596227133077,1.09126907194529,1.13728288959541,1.02508686019529,62,35,27,28,16,12,1200,0.411712511091393,0.111111111111111,1.28925377387477,NA,1.28925377387477,0.974469475453207,1.07861178216495,10,5,5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,34,19,15,NA,NA,NA,0.054054054054054,NA,"riddha",FALSE,0.119264190554363,0.106567274908448,1.45518166009101
50,"dgrp100","female","operant_place","green","M","noShock",2,"11:00:00",NA,"M","G",0.343856547543882,0.343856547543882,0.173380477332997,0.348655133223892,-0.125,-0.259259259259259,-0.027027027027027,1.23704095759,1.08927530406804,1.38369055632705,NA,1.23704095759,0.967083600772506,0.907355191010655,1.32073865857294,0.927440326279611,0.962731629820673,0.889683254805548,52,34,18,20,12,8,1200,0.538256227758007,0.428571428571428,0.951033410147817,NA,0.951033410147817,0.572421536617021,0.974462311507321,8,4,4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,32,22,10,NA,NA,NA,0.232232232232232,NA,"riddha",FALSE,0.0673636980679378,0.0546667824220229,-0.416480046875894
