UMAP1,UMAP2,DGRP
8.166671,3.366398,DGRP_195
8.399997,1.9256495,DGRP_354
7.177267,1.8683199,DGRP_306
11.413526,1.6599895,DGRP_853
7.554269,1.576549,DGRP_850
11.343189,3.1084814,DGRP_332
7.067737,2.5412848,DGRP_843
10.558357,1.3820902,DGRP_385
11.682321,1.8912476,DGRP_732
10.198221,2.3132358,DGRP_317
7.5114794,2.0615432,DGRP_739
10.021436,4.119434,DGRP_059
11.122744,1.0085344,DGRP_820
9.712502,1.8905729,DGRP_595
8.334354,1.4000876,DGRP_517
7.9949336,4.293496,DGRP_176
8.715488,4.411228,DGRP_437
8.175303,4.036932,DGRP_362
9.196588,4.2499027,DGRP_390
10.803533,1.0338569,DGRP_091
8.837334,2.9654837,DGRP_208
7.2397966,2.9672692,DGRP_032
8.066773,3.2306871,DGRP_705
7.700901,3.9190261,DGRP_365
9.005777,2.5209694,DGRP_377
7.468806,3.2553294,DGRP_031
8.316191,2.6777077,DGRP_737
9.245138,0.7355519,DGRP_832
10.583216,3.6397486,DGRP_787
9.529016,3.100232,DGRP_131
9.391935,3.322932,DGRP_879
11.371214,1.3343339,DGRP_703
8.109475,4.4314795,DGRP_584
11.1507015,1.626474,DGRP_335
7.9755335,1.71823,DGRP_304
10.24095,1.0264181,DGRP_359
7.779424,2.2539043,DGRP_075
11.07472,3.7395477,DGRP_228
11.031238,2.735611,DGRP_105
9.724957,0.72978866,DGRP_439
10.308033,1.6105223,DGRP_350
10.766318,3.674325,DGRP_048
7.873017,2.573767,DGRP_321
9.484227,1.4620007,DGRP_786
8.930537,0.8476525,DGRP_790
10.460517,3.760671,DGRP_100
8.616123,3.8665993,DGRP_021
9.388959,2.6233258,DGRP_395
8.899313,2.448738,DGRP_802
9.109906,3.09291,DGRP_900
9.449962,1.102354,DGRP_859
11.475846,2.324568,DGRP_486
10.27742,0.7506503,DGRP_026
8.928629,3.932303,DGRP_309
