dgrp584,dgrp721,dgrp227,dgrp627,dgrp391,dgrp897,dgrp189,dgrp879,dgrp738,dgrp303,dgrp93,dgrp386,dgrp737,dgrp395,dgrp801,dgrp705,dgrp31,dgrp91,dgrp765,dgrp385,dgrp362,dgrp911,dgrp321,dgrp26,dgrp802,dgrp818,dgrp776,dgrp859,dgrp820,dgrp304,dgrp437,dgrp563,dgrp373,dgrp595,dgrp732,dgrp208,dgrp105,dgrp517,dgrp850,dgrp790,dgrp309,dgrp486,dgrp313,dgrp217,dgrp100,dgrp808,dgrp786,dgrp318,dgrp787,dgrp559,dgrp805,dgrp354,dgrp551,dgrp319,dgrp153,dgrp59,dgrp855,dgrp390,dgrp228,dgrp892,dgrp822,dgrp405,dgrp382,dgrp853,dgrp195,dgrp913,dgrp75,dgrp440
0.0,7.277365781268703e13,8.62901274745797e13,3.926959763929905e14,2.4207752294318258e13,9.998730312827285e12,2.1795745025213027e13,2.052562956384241e14,4.7269621415060164e13,1.3209771424714623e14,4.617947056465296e13,1.1705201775519978e11,3.979260713479187e13,4.3879990098591195e13,8.90659115656602e13,3.1746614004307125e14,1.2283304472205114e14,3.6666671513037306e14,6.73309384978653e13,1.611324553313538e14,9.291931428633178e13,7.74278099402197e13,5.139013779199806e12,2.6195293250699194e14,2.0237740554861212e14,1.2179922200674223e13,5.865775201918722e12,2.1252620550458538e14,7.495042946235703e13,1.1853877808908574e13,2.252372625075982e13,1.522846127674351e14,3.8338028813853745e12,7.79462631806301e13,1.1383471192818771e13,8.595918991424406e13,6.5916075911536875e13,1.6304264281425244e14,6.717321118917617e13,2.3834067408380918e13,1.880464368097566e14,2.882942070465161e13,1.8198237919408835e12,4.00627369303148e14,4.680525167893597e13,9.936237840877272e13,1.4458886944433645e13,3.7549828306537875e14,1.5292214183912247e14,2.95617823337072e14,5.3328994187846806e14,2.296585101096839e13,2.40287077724626e14,1.298657689551551e14,3.9645621791478414e13,7.624220882222619e13,4.598431301245728e14,1.8412588230298484e12,3.82308322319153e12,3.611052534714953e13,2.0845612501125068e12,1.3161050819404272e14,7.282538535731017e13,1.067166693709642e14,1.6586178003516672e14,1.98158283331965e14,9.017905854687731e13,2.0703126887339056e14
1.760820907711205e14,0.0,1.392041998289326e12,3.0818143843240625e14,3.1542944377085094e13,6.973881203696943e13,3.609114895669148e13,8.128320873289077e13,6.630967010605877e12,2.1237117784974793e13,7.285175682623966e12,1.6224163910575022e14,5.3277467893805544e14,8.795035458859459e12,1.9892672105674854e12,2.0867774524638706e14,1.576124611852969e13,2.7277822930468253e14,2.5589065377362656e11,4.1933764337522414e13,2.974292884203959e12,1.745107729673059e11,2.820995913628709e14,1.4175617551572428e14,7.847981139794639e13,3.4962470393404425e14,9.029307339198197e13,8.849060299541627e13,3.880690368457824e10,6.263272871135411e13,3.4660431410155543e13,3.51158919060946e13,1.0452823209683766e14,2.148260568934633e11,6.4343231445991055e13,1.3273658044569705e12,4.104633344705814e11,4.345869816931166e13,2.7124835095921362e11,3.221255513371634e13,6.497981755619515e13,2.4183103332156758e13,1.2479588315316783e14,3.191521024493325e14,6.904948023202405e12,4.998595687736693e12,5.409340501902976e13,2.8468375624873244e14,3.5593211036791805e13,1.8157530954670662e14,5.131003745748143e14,3.3816652064091824e13,1.1756076216202025e14,1.9862145848137934e13,1.2078489380149963e13,9.76862596401593e10,4.034680068991664e14,1.2452073458811516e14,1.0461537815194236e14,1.5384175356024408e13,1.2152323691969014e14,2.0934059212285066e13,2.223290483283905e7,7.8362195058000205e12,4.574221865376008e13,7.442518662734814e13,2.255596840046822e12,8.302617209683558e13
3.606296595380676e14,2.404427506312374e12,0.0,4.631643994547603e14,7.977859679042766e13,1.5689905959435588e14,8.922934847670931e13,1.0605569464357839e14,2.435339435877729e13,2.030366119596949e13,2.5988952604156742e13,3.345544316329679e14,1.0167261133082018e15,2.9683237043863758e13,9.182230301822012e10,3.039684333621542e14,1.3447097506886799e13,4.0624880401644656e14,4.908200775430855e12,4.844168615106612e13,5.126000067315887e11,1.0031992075123292e12,5.5812242392630306e14,1.9872777782425638e14,1.0185272007757605e14,6.825102738684584e14,1.970942031700974e14,1.1691022350299022e14,1.6685415591967126e12,1.4284426257576484e14,8.626787821086061e13,3.890613774733819e13,2.246233867334472e14,8.863717635288478e11,1.4623625193930972e14,1.3286339599673736e9,5.724682599501788e12,5.060003441574957e13,4.995696760259205e12,8.117688937103266e13,8.178664074040802e13,6.4218497979102664e13,2.6349206185152488e14,4.8085124883128956e14,2.5041267026660918e13,1.9257928697356262e12,1.2581511962531728e14,4.25359485024039e14,3.9566998530265664e13,2.6111168409319294e14,7.963410746484018e14,8.451656980471058e13,1.6127088263579566e14,1.854693120910693e13,3.7432368659901805e13,1.2992667530021057e12,6.174320891861272e14,2.629665851594732e14,2.247912782409209e14,4.496346994816169e13,2.5723834954503597e14,1.9914698198621164e13,2.3852476682391665e12,4.530109182709642e12,5.384740548577877e13,9.57944042160629e13,1.7910787568801688e11,1.086743672986319e14
1.6692406334712652e15,5.4141214347043575e14,4.7108289544326144e14,0.0,9.432490037226921e14,1.1790296200915612e15,9.753740254498002e14,1.2810730726550762e14,7.118952984637766e14,2.944700918686878e14,7.206955834048374e14,1.612100020605165e15,2.9011153542748935e15,7.39788436376055e14,4.57910475634736e14,1.6985517862144092e13,3.242233053533755e14,1.8968568472233508e12,5.73063657465311e14,2.15654928016402e14,4.402606465943806e14,5.159516040059144e14,2.0729947716508872e15,5.6060639648160586e13,1.328562391772151e14,2.3089675654150865e15,1.2861525467529012e15,1.1663794132653275e14,5.293293969619318e14,1.1395975016412705e15,9.654415043141446e14,2.3758745207130562e14,1.3556725344702045e15,5.1320059769720756e14,1.1492233400986962e15,4.7267998785420694e14,5.816509690156924e14,2.111361512895072e14,5.740133141236885e14,9.480830842617909e14,1.5835373668194353e14,8.872237274076098e14,1.4497097139142012e15,1.6853575399246848e11,7.15624796676262e14,4.1228905960636794e14,1.090099521603664e15,8.183823787268557e11,2.359502170516097e14,2.92459026209688e13,4.5633767933435984e13,9.59511775325576e14,7.915839648121427e13,3.0141026856398406e14,7.770001390337076e14,5.2230533606047194e14,1.1257669661010455e13,1.448466302552474e15,1.356088456479114e15,8.103702014949695e14,1.4348654102705902e15,2.9597313344316594e14,5.4112134338850325e14,3.825123042819316e14,2.0460164265456562e14,1.4003577884897411e14,4.5273755410517206e14,1.252386808023808e14
9.683094233917298e13,5.214599272356259e13,7.635645436171906e13,8.876127872608854e14,0.0,1.2363098743071723e13,2.531015756592223e11,3.539385882765982e14,1.5290485835599195e13,1.7282979326142294e14,1.4068647298600291e13,8.38325993135467e13,5.0429634311476044e14,1.1615272430134715e13,8.162525500158023e13,6.653755912205148e14,1.519237419059192e14,8.097895895846461e14,4.317553345175834e13,2.4171889981286266e14,8.908820589573925e13,6.0191795815155266e13,2.066161447291766e14,5.0758456651707844e14,3.4639170299575594e14,2.829197370006875e14,2.4964019227034965e13,3.731185023705302e14,5.586823672319552e13,8.728370900185621e12,1.2141122599493832e11,2.2023896762206434e14,3.509677302094011e13,6.110796915675222e13,9.562899197461969e12,7.573451483574289e13,4.0927572774140086e13,2.4640680405032297e14,4.2923146585086586e13,5.813368879862029e9,3.092576894086647e14,8.070003004371403e11,5.101181351812178e13,9.11500762241589e14,1.4765548414574188e13,1.0192633943013255e14,4.996590485597002e12,8.36092915207636e14,2.2177340640006312e14,6.025452430334089e14,1.32102118986668e15,6.5400348942939575e10,4.4783489383754125e14,1.6774014251326306e14,7.577236540568801e12,5.8111340255735164e13,1.0921452009724459e15,5.078575571845155e13,3.5161716291148715e13,4.744255392298385e12,4.833962717669036e13,1.7171600206541928e14,5.223358790000465e13,1.17082647118303e14,2.5335683955230675e14,3.353828114991421e14,8.376373496035386e13,3.5860546224951725e14
2.283618680600158e13,6.582824782569805e13,8.57430132105814e13,6.334917327067219e14,7.0590519606464375e12,0.0,5.183526534141126e12,2.8468998836197694e14,3.1490432886740695e13,1.585273815933368e14,3.0152416048566727e13,1.8161888569278754e13,2.0483228789644112e14,2.7375563720151973e13,8.994170767125873e13,4.9054648419881044e14,1.4329501979159834e14,5.83691941403015e14,5.809476129979222e13,2.0750147931685406e14,9.582498743141112e13,7.257888828518148e13,6.731641929550156e13,3.8734060040431994e14,2.7957119336401306e14,1.0106247465532061e14,1.2511438467980825e12,2.976610402249297e14,6.897057874648612e13,1.8017185657396283e11,5.729296401483876e12,1.9239869455537544e14,3.3111588649647974e12,7.333818561821405e13,1.0251547427625473e11,8.524471550959667e13,5.6115210243653195e13,2.10780609949964e14,5.787342750424373e13,6.756226633756807e12,2.5424935004519516e14,1.1126859355651697e13,7.507703866403375e12,6.48730263020285e14,3.0918838731181547e13,1.0579410727801534e14,9.366804025718582e11,6.005514188310444e14,1.9348204420945306e14,4.496604175951335e14,9.072702419169285e14,6.069554186685842e12,3.477339112048352e14,1.5483824590833e14,2.243817752137747e13,7.084790108519336e13,7.633439465652801e14,7.442243358718739e12,3.326242050103041e12,1.8513658818042113e13,6.743176741941066e12,1.577210675191344e14,6.59026054852728e13,1.1735753394257508e14,2.1563162380686562e14,2.7208825055585828e14,9.163485856034898e13,2.878510555081407e14
1.0658171671102398e14,7.294083294862406e13,1.0440429931066106e14,1.122069304488188e15,3.094184097074321e11,1.1098328774477312e13,0.0,4.561433291246019e14,2.381207879251891e13,2.2776606714844616e14,2.212219494405499e13,9.15328352981116e13,5.89192101681339e14,1.870138228680998e13,1.1121009944604592e14,8.454650572213891e14,2.011987115784005e14,1.0252865073539614e15,6.117433844425017e13,3.1493666189670606e14,1.2083053691708202e14,8.343757455901006e13,2.3521790661964953e14,6.48547988023918e14,4.4666916184369506e14,3.25490741575655e14,2.4682196018959395e13,4.8020965361415106e14,7.78028623605138e13,7.345824638239842e12,2.9238566816302338e10,2.87807811046346e14,3.592823652865463e13,8.462995706801527e13,8.196277060243077e12,1.0360010969345545e14,5.821296755051339e13,3.208522144018646e14,6.0842135516917695e13,2.2273828919607333e11,4.0001067825591844e14,2.400990177862941e12,5.388625796463077e13,1.1517623790471698e15,2.308705320494158e13,1.3733364630835934e14,3.668209316686077e12,1.0580064507850531e15,2.897471543956992e14,7.671193064933126e14,1.6599747028169318e15,7.47997329617962e10,5.738214534990458e14,2.2130404506105606e14,1.2958620065133287e13,8.072782733151069e13,1.376115189258702e15,5.362938864464719e13,3.600089107374336e13,8.788550105990459e12,5.08526940701159e13,2.2635225890619506e14,7.305537603013333e13,1.567536623679545e14,3.2961909424348144e14,4.32843982663263e14,1.1396904127038311e14,4.6200068197026106e14
1.152492267094738e15,1.8862592862635434e14,1.424869843248757e14,1.6922048659783662e14,4.968322242073433e14,6.998983919807015e14,5.237594463620321e14,0.0,3.117642863860395e14,4.507696990383432e13,3.184727492375846e14,1.098105598244022e15,2.390818188300142e15,3.331294089838374e14,1.3422517062017034e14,6.84217551891778e13,5.907984622364861e13,1.3054354465440752e14,2.1038669371101184e14,1.4972671900922057e13,1.233637055041763e14,1.715508720242776e14,1.5460673536008145e15,1.9387530995934902e13,5.708171862990575e10,1.782371239234397e15,7.95770973206797e14,3.5518304400994556e11,1.804729808817305e14,6.651267684496575e14,5.1540635514495925e14,2.215523689633688e13,8.590011758812728e14,1.6973013926491772e14,6.735876369985096e14,1.434974202317079e14,2.1638668105952353e14,1.3628572779800613e13,2.1104826254346606e14,5.0086745973622694e14,2.1151794822268984e12,4.5051760576319444e14,9.456730523157412e14,1.8171868977289428e14,3.146035963208375e14,1.0667326852542108e14,6.219087497411034e14,1.4325108391682644e14,2.1583367171838664e13,4.6145328231194445e13,4.314937091391731e14,5.1043124372612094e14,7.744510353722369e12,4.8232989893912625e13,3.620796871019133e14,1.7577442754694534e14,2.8441861024791506e14,9.445189483828969e14,8.593817030616296e14,3.884489501678452e14,9.319086814186962e14,4.575451307652402e13,1.8842867931823006e14,8.967632299220367e13,1.1773336868673457e13,3.5064452365333984e11,1.3101657579024594e14,2.145343958721119e10
1.7254647878569747e14,1.000368164098885e13,2.1270766836496855e13,6.11332669660289e14,1.395357754086773e13,5.0329645953800766e13,1.7775028077266242e13,2.0267902545007156e14,0.0,7.784810972768678e13,2.3211695659448685e10,1.558012112287173e14,6.344256503834814e14,2.3014116754076346e11,2.396317272759584e13,4.370592630673078e14,6.462743131543425e13,5.498488674625454e14,6.459399625197707e12,1.2357961698489284e14,2.7890436679020004e13,1.3512685146309986e13,3.050901997830426e14,3.16367962285875e14,1.9723116592467622e14,3.92179429770532e14,7.239331948375388e13,2.1659199881283144e14,1.1592806534415314e13,4.300369082943779e13,1.6551136004422475e13,1.090225048915618e14,8.826204387367945e13,1.3928955473159867e13,4.4750221052991586e13,2.0957705671132996e13,5.645105948657733e12,1.2678684034039548e14,6.366344661250583e12,1.4503032912603316e13,1.7066543208699534e14,8.27878246305245e12,1.1147823726916908e14,6.302898568160576e14,4.183606238680156e9,3.491574184627791e13,3.4466275450310727e13,5.705803750507278e14,1.1005446356426569e14,3.886297371448977e14,9.600786707069168e14,1.58383945189264e13,2.7160224505451656e14,7.459529968714234e13,1.2229299798928987e12,1.2579442633794152e13,7.747531435931955e14,1.11158876274512e14,8.836040871093036e13,2.738087184339463e12,1.0768665638359145e14,7.713451215451773e13,1.004035046330116e13,4.357541702252794e13,1.3156027085444616e14,1.893126086041179e14,2.5075505020387207e13,2.0605556371949503e14
6.156136879278528e14,4.090416753823059e13,2.2640550961616152e13,3.228432124407526e14,2.0135938850371225e14,3.234733593988484e14,2.1706559609621744e14,3.741331119099835e13,9.938871132360919e13,0.0,1.0285073432278775e14,5.79508670776018e14,1.4768177404879032e15,1.1049040421144064e14,1.9697825330229535e13,1.8639081470077022e14,7.848091594585889e11,2.731003400516283e14,5.0377044021003875e13,6.715504759695319e12,1.601734328114724e13,3.382443828054273e13,8.824087311940915e14,1.0257742453626094e14,3.4797957227680855e13,1.04623898963898e15,3.8350011524551925e14,4.435020075245134e13,3.748184284289349e13,3.020307880189484e14,2.121747136343608e14,3.343241054566611e12,4.237286161723635e14,3.3089957149819117e13,3.072308296252364e14,2.3008328775667906e13,5.3068060437688e13,7.581093543816386e12,5.067217284094737e13,2.037018047880995e14,2.2960026001786547e13,1.747808074672545e14,4.795821392439163e14,3.3847509162499925e14,1.008512500449358e14,1.0842480521441758e13,2.756553748600154e14,2.897012602910202e14,3.5500522963441953e12,1.5142149973527294e14,6.270556051801175e14,2.0926956738484794e14,7.485644052594714e13,4.431157481335345e10,1.2586404686868358e14,3.554393412504945e13,4.614338275725996e14,4.788334448232208e14,4.239721070557553e14,1.4016363442810033e14,4.7066124855966094e14,2.0974181368695552e9,4.0820506040877734e13,6.303374092182535e12,8.94408997717207e12,3.1104822207506855e13,1.8587354236144074e13,3.906351976945073e13
