,DGRP,sex
2528,DGRP_153,F
2544,DGRP_153,M
2592,DGRP_313,F
2608,DGRP_313,M
2656,DGRP_721,F
2672,DGRP_721,M
2720,DGRP_808,F
2736,DGRP_808,M
2785,DGRP_765,F
2801,DGRP_765,M
2849,DGRP_776,F
2865,DGRP_776,M
2913,DGRP_855,F
2929,DGRP_855,M
2978,DGRP_382,F
2994,DGRP_382,M
3040,DGRP_627,F
3056,DGRP_627,M
3110,DGRP_440,F
3126,DGRP_440,M
3174,DGRP_563,F
3190,DGRP_563,M
3238,DGRP_911,F
3254,DGRP_911,M
3303,DGRP_227,F
3319,DGRP_227,M
3367,DGRP_319,F
3383,DGRP_319,M
3431,DGRP_822,F
3447,DGRP_822,M
3496,DGRP_189,F
3512,DGRP_189,M
3560,DGRP_801,F
3576,DGRP_801,M
3624,DGRP_805,F
3640,DGRP_805,M
3688,DGRP_892,F
3704,DGRP_892,M
3748,DGRP_093,F
3764,DGRP_093,M
3816,DGRP_217,F
3832,DGRP_217,M
3878,DGRP_391,F
3894,DGRP_391,M
3942,DGRP_738,F
3958,DGRP_738,M
4006,DGRP_897,F
4022,DGRP_897,M
4335,DGRP_318,F
4351,DGRP_318,M
4384,DGRP_227,F
4400,DGRP_227,M
4768,DGRP_855,F
4784,DGRP_855,M
4969,DGRP_627,F
4985,DGRP_627,M
5033,DGRP_818,F
5049,DGRP_818,M
5161,DGRP_913,F
5177,DGRP_913,M
