UMAP1,UMAP2,DGRP,Sex
1.3861846,6.3334136,DGRP_796,F
0.22804561,4.9609804,DGRP_195,M
2.9501483,6.1301875,DGRP_354,M
2.104365,6.5701284,DGRP_306,M
0.9143387,5.196003,DGRP_705,F
3.834823,3.3962896,DGRP_853,M
1.3808392,2.7192264,DGRP_228,F
2.2384977,6.8374057,DGRP_850,M
2.8733768,7.929491,DGRP_136,F
2.5775578,2.4102705,DGRP_332,M
1.5095769,6.589377,DGRP_843,M
3.3656216,4.0853,DGRP_385,M
3.3521059,7.508721,DGRP_032,F
3.9885073,2.9908855,DGRP_732,M
-0.18876827,4.425773,DGRP_787,F
4.627126,4.1909122,DGRP_486,F
2.4666421,2.9391615,DGRP_317,M
2.3790467,7.138776,DGRP_739,M
0.31951866,3.3432846,DGRP_059,M
4.456615,3.884114,DGRP_820,M
0.71615463,4.0151496,DGRP_584,F
2.6918917,2.598772,DGRP_385,F
2.3860037,4.1896725,DGRP_386,F
2.1808555,7.376628,DGRP_437,F
3.3940513,4.651838,DGRP_595,M
3.7147198,6.6024976,DGRP_517,M
1.9649348,6.743488,DGRP_843,F
1.0881053,5.210297,DGRP_176,M
0.80103254,3.5683274,DGRP_105,F
4.320638,5.4058695,DGRP_359,F
0.6621185,4.890441,DGRP_437,M
1.0061586,5.4570584,DGRP_362,M
0.7990155,4.7585654,DGRP_390,M
4.016065,3.8457756,DGRP_091,M
2.194018,5.114306,DGRP_208,M
3.2847354,6.4894176,DGRP_048,F
2.3736072,4.5159197,DGRP_304,F
1.5718628,6.641187,DGRP_032,M
2.713526,7.5375323,DGRP_853,F
3.37491,8.016711,DGRP_101,F
0.06425701,4.66505,DGRP_705,M
1.3265935,5.995982,DGRP_365,M
5.0849743,4.311348,DGRP_153,F
2.5997028,4.905613,DGRP_377,M
0.17515169,3.6765935,DGRP_390,F
0.5173847,3.5395055,DGRP_737,F
4.868673,5.623463,DGRP_176,F
4.756585,3.9543464,DGRP_820,F
1.2802697,6.2200956,DGRP_031,M
2.9753704,6.9384785,DGRP_737,M
-0.16027261,4.2081246,DGRP_395,F
4.9869876,5.897461,DGRP_832,M
0.92109966,3.2251658,DGRP_787,M
2.5644448,2.7131398,DGRP_362,F
2.02361,4.4426293,DGRP_131,M
3.6985054,3.5354846,DGRP_181,F
4.7753186,5.427719,DGRP_365,F
3.8077939,3.0649421,DGRP_900,F
1.94092,6.98583,DGRP_377,F
-0.11273846,4.755949,DGRP_409,F
1.8318198,4.231835,DGRP_879,M
3.799371,3.3390996,DGRP_703,M
1.391179,5.179113,DGRP_584,M
4.0197268,3.354641,DGRP_335,M
2.0618255,6.338022,DGRP_317,F
3.2682624,7.1412945,DGRP_304,M
4.476168,3.296711,DGRP_320,F
4.4612045,4.677068,DGRP_359,M
2.4816337,6.4349837,DGRP_439,F
0.2782226,4.2442784,DGRP_405,F
1.3744168,3.536751,DGRP_309,F
5.216093,4.227719,DGRP_306,F
0.685389,3.4392316,DGRP_732,F
4.772482,3.7047153,DGRP_091,F
2.9947069,7.7412,DGRP_100,F
3.1298342,6.625425,DGRP_350,F
3.06692,7.7464237,DGRP_075,M
1.4196357,2.7312386,DGRP_228,M
5.016533,4.4421844,DGRP_354,F
2.5500329,2.5106413,DGRP_105,M
0.091122776,3.6595156,DGRP_256,F
3.9975145,6.3453693,DGRP_075,F
3.6896396,6.1849475,DGRP_859,F
4.921827,5.8683667,DGRP_850,F
2.6865537,7.0653615,DGRP_595,F
4.6450896,5.7785225,DGRP_517,F
4.8816867,5.215319,DGRP_439,M
3.8548365,4.4221463,DGRP_350,M
2.3933077,6.809026,DGRP_195,F
1.0937347,3.0551174,DGRP_048,M
3.0940595,7.9016542,DGRP_321,M
3.7705066,5.5125213,DGRP_786,M
2.8866482,2.4487126,DGRP_335,F
3.0844178,5.094552,DGRP_786,F
1.7472856,6.778695,DGRP_059,F
4.4960012,5.058303,DGRP_832,F
4.783051,4.221414,DGRP_093,F
4.7891164,5.962962,DGRP_790,M
1.6701578,6.110994,DGRP_026,F
0.2785539,4.543553,DGRP_021,F
0.84458214,3.2202477,DGRP_100,M
1.5109112,4.8496447,DGRP_021,M
3.7670596,7.358505,DGRP_208,F
2.4858854,4.6572657,DGRP_395,M
2.545277,4.8613734,DGRP_802,M
2.098875,4.572772,DGRP_900,M
4.301918,5.689171,DGRP_859,M
2.6049054,2.4461503,DGRP_332,F
3.3960636,2.8493094,DGRP_486,M
4.608594,4.7731013,DGRP_026,M
0.9967694,4.7958217,DGRP_309,M
