UMAP1,UMAP2,DGRP
6.2168775,-8.029558,DGRP_796
7.1639676,-7.264295,DGRP_705
7.4964147,-5.157256,DGRP_228
6.5603724,-6.648452,DGRP_136
5.542536,-6.778997,DGRP_032
7.2269664,-6.201221,DGRP_787
3.2230113,-5.5843773,DGRP_486
7.8206472,-6.776991,DGRP_584
5.9130583,-4.3132014,DGRP_385
5.8281264,-5.076408,DGRP_386
6.3549376,-7.558321,DGRP_437
5.21846,-8.171798,DGRP_843
7.5828643,-5.5020084,DGRP_105
3.7151995,-7.275346,DGRP_359
4.6323256,-6.859118,DGRP_048
5.751848,-5.5438366,DGRP_304
6.2161503,-7.024048,DGRP_853
5.829567,-6.205331,DGRP_101
3.6646523,-5.8592305,DGRP_153
8.132421,-6.1382003,DGRP_390
8.20535,-6.3764997,DGRP_737
4.1923637,-7.7034254,DGRP_176
3.5325818,-5.2076592,DGRP_820
7.4218254,-5.8693304,DGRP_395
6.2013845,-4.5488677,DGRP_362
4.962101,-4.735262,DGRP_181
3.792853,-7.5321794,DGRP_365
5.2458115,-4.4881697,DGRP_900
5.788586,-8.196664,DGRP_377
7.382103,-6.095292,DGRP_409
4.7381415,-7.7608786,DGRP_317
4.072441,-5.0457606,DGRP_320
5.8420997,-7.529502,DGRP_439
7.5430717,-6.451333,DGRP_405
6.772661,-5.397651,DGRP_309
4.052977,-5.934961,DGRP_306
8.015128,-6.425693,DGRP_732
3.8310487,-5.3126974,DGRP_091
6.1063876,-6.640049,DGRP_100
5.0085506,-7.00658,DGRP_350
4.1177945,-5.7831335,DGRP_354
7.863294,-5.851118,DGRP_256
4.004203,-6.257532,DGRP_075
4.284994,-6.4028172,DGRP_859
4.1003933,-7.7892795,DGRP_850
6.409725,-7.2020125,DGRP_595
3.837582,-8.017243,DGRP_517
5.6321735,-7.4463515,DGRP_195
6.042218,-4.4538293,DGRP_335
4.7353973,-5.8345904,DGRP_786
5.543973,-8.126219,DGRP_059
3.5199533,-7.7753963,DGRP_832
3.6110158,-5.595502,DGRP_093
5.146929,-7.7457633,DGRP_026
7.3908405,-6.868818,DGRP_021
5.053091,-6.054247,DGRP_208
6.3629975,-4.593305,DGRP_332
